"Teryt";"Kod kraju";"Województwo";"Kod gm.";"Gmina";"Typ gminy";"Okręg do Sejmu nr";"Okręg do Senatu nr";"Nr obwodu";"Adres obwodu";"Typ obwodu";"Przystosowany dla niepełnosprawnych";"Granice obwodu"
"140000";"PK";"mazowieckie";"149901";"Zagranica";;"";"44";"152";"Islamabad, Ambasada RP, Diplomatic Enclave II, Street 24 G-5/4, Islamabad 44-000 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Islamska Republika Pakistanu"
"140000";"PA";"mazowieckie";"149901";"Zagranica";;"";"44";"153";"Panama, Konsulat Honorowy RP, Parque del Recuerdo, Via Transistmica, milla 8 , Provincia de Panama ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Panamy"
"140000";"PE";"mazowieckie";"149901";"Zagranica";;"";"44";"154";"Lima, Ambasada RP, Avenida Salaverry 1978 , Jesus Maria ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Peru"
"140000";"PT";"mazowieckie";"149901";"Zagranica";;"";"44";"155";"Lisbona, Ambasada RP, Avenida das Descobertas 2 , Restelo 1400-092 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Portugalska"
"140000";"ZA";"mazowieckie";"149901";"Zagranica";;"";"44";"156";"Pretoria, Ambasada RP, Colbyn, Amos Street 14 , Pretoria ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Południowej Afryki"
"140000";"ZA";"mazowieckie";"149901";"Zagranica";;"";"44";"157";"Durban, Konsulat Honorowy RP, Westville, Chase Place 3 , Durban ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Południowej Afryki"
"140000";"ZA";"mazowieckie";"149901";"Zagranica";;"";"44";"158";"Kapsztad, Biuro Parlamentarne Ambasady Czeskiej, Claremont, Fleetwood Avenue 2 , Kapsztad ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Południowej Afryki"
"140000";"RU";"mazowieckie";"149901";"Zagranica";;"";"44";"159";"Moskwa, Ambasada RP, Klimaszkina 4 , Moskwa 115127 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Federacja Rosyjska"
"140000";"RU";"mazowieckie";"149901";"Zagranica";;"";"44";"160";"Irkuck, Konsulat Generalny RP, Suche Batora 18 , Irkuck 664003 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Federacja Rosyjska"
"140000";"RU";"mazowieckie";"149901";"Zagranica";;"";"44";"161";"Kaliningrad, Konsulat Generalny RP, Kasztanowaja Aleja 51 , Kaliningrad ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Federacja Rosyjska"
